"ID","Gender","City_Code","City_Category","Employer_Category1","Employer_Category2","Monthly_Income","Customer_Existing_Primary_Bank_Code","Primary_Bank_Type","Contacted","Source","Source_Category","Existing_EMI","Loan_Amount","Loan_Period","Interest_Rate","EMI","Var1","DOBDay","DOBMonth","DOBYear","Lead_Creation_DateDay","Lead_Creation_DateMonth","LeadCreationDOW","Age"
"APPA70109647212","Male","C10028","C","A","4",2150,"B002","P","Y","S122","B",0,10000,3,20,372,"4",3,6,88,3,6,"Tuesday",71.9616438356164
"APPB10687939341","Male","C10003","A","C","4",4200,"B004","P","Y","S133","C",0,69000,5,24,1985,"7",13,7,81,13,7,"Friday",65.0767123287671
"APPK30106042233","Male","C10002","A","B","3",1700,"B001","P","Y","S133","C",0,39000,5,18.5,1001,"2",3,7,90,3,7,"Friday",74.0547945205479
"APPN80816878501","Male","C10024","A","B","4",2560,"B002","P","Y","S133","B",0,20000,5,16.75,494,"7",15,1,91,15,1,"Friday",74.5917808219178
"APPR10725816917","Male","C10015","C","A","4",2960,"B024","G","Y","S133","C",0,44000,5,13.99,1024,"4",21,6,89,21,6,"Friday",73.0219178082192
"APPW70096327441","Female","C10035","C","C","1",1268,"B001","P","Y","S151","B",188,13000,5,13,296,"2",29,8,85,29,8,"Friday",69.2082191780822
"APPX50146048546","Male","C10010","A","A","4",3000,"B013","G","Y","S133","C",0,45000,5,31,1484,"4",3,10,85,3,10,"Friday",69.3041095890411
"APPD70986505145","Male","C10510","C","C","4",1550,"","","Y","S159","B",0,10000,3,20,372,"2",25,7,80,25,7,"Friday",64.1095890410959
"APPF80212605331","Female","C10015","C","A","4",3000,"B010","G","Y","S133","E",0,50000,5,20,1325,"7",5,3,76,5,3,"Friday",59.7178082191781
"APPM70580221014","Male","C10001","A","A","4",2500,"","","Y","S133","B",0,10000,3,32.5,438,"7",21,10,92,21,10,"Friday",76.358904109589
"APPT80140966721","Female","C10012","A","B","4",2850,"B002","P","Y","S133","C",0,46000,5,16.75,1137,"7",17,2,81,17,2,"Friday",64.6767123287671
"APPX90531514107","Male","C10028","C","A","4",3000,"B003","G","Y","S133","C",0,45000,5,15.5,1082,"7",3,6,87,3,6,"Friday",70.9698630136986
"APPY80613652222","Male","C10004","A","B","3",3500,"B001","P","Y","S133","B",0,45000,5,17,1118,"10",4,11,91,4,11,"Friday",75.3945205479452
"APPC70771774625","Male","C10258","C","C","4",3800,"B003","G","Y","S122","B",300,10000,3,15.5,349,"7",16,7,82,16,7,"Friday",66.0849315068493
"APPF80168055929","Male","C10007","A","C","4",2400,"B036","G","Y","S143","B",0,30000,4,20,913,"4",15,5,64,15,5,"Friday",47.9041095890411
