"ID","Gender","City_Code","City_Category","Employer_Category1","Employer_Category2","Monthly_Income","Customer_Existing_Primary_Bank_Code","Primary_Bank_Type","Contacted","Source","Source_Category","Existing_EMI","Loan_Amount","Loan_Period","Var1","DOBDay","DOBMonth","DOBYear","Lead_Creation_DateDay","Lead_Creation_DateMonth","LeadCreationDOW","Age"
"APPE80379821637","Male","C10005","A","A","4",2340,"B004","P","Y","S143","B",500,10000,2,"0",21,9,88,21,9,"Friday",72.2739726027397
"APPI70297912043","Male","C10014","B","A","4",3000,"B004","P","Y","S156","B",0,10000,1,"10",6,8,91,6,8,"Friday",75.1479452054794
"APPJ50119937105","Male","C10001","A","B","4",4040,"B002","P","Y","S133","B",0,30000,4,"10",13,7,84,13,7,"Friday",68.0794520547945
"APPP70300016724","Male","C10003","A","B","4",3000,"B001","P","Y","S134","B",600,30000,3,"7",23,1,88,23,1,"Friday",71.6109589041096
"APPU10455032232","Male","C10001","A","A","4",2000,"B001","P","Y","S122","B",0,10000,2,"4",16,8,92,16,8,"Friday",76.1780821917808
"APPY80200205609","Male","C10027","A","B","4",2060,"B002","P","Y","S133","B",0,10000,1,"4",11,9,84,11,9,"Friday",68.2438356164384
"APPB10908859928","Male","C10001","A","C","1",2400,"B002","P","Y","S133","B",0,20000,4,"4",8,8,86,8,8,"Friday",70.1506849315068
"APPG70118514422","Male","C10467","C","C","4",5600,"B007","G","Y","S159","B",1300,98000,5,"7",1,8,60,1,8,"Friday",44.1150684931507
"APPI70857836611","Male","C10002","A","A","1",2450,"B001","P","Y","S133","B",0,50000,5,"4",29,1,92,29,1,"Friday",75.6301369863014
"APPL20333186904","Male","C10003","A","B","4",5200,"B004","P","Y","S123","B",0,1e+05,5,"10",20,7,86,20,7,"Friday",70.0986301369863
"APPG50757073027","Male","C10048","C","A","4",4200,"B030","P","Y","S133","B",0,50000,5,"10",5,5,86,5,5,"Friday",69.8904109589041
"APPH30859115106","Male","C10033","C","A","1",2000,"B003","G","Y","S133","F",0,29000,5,"4",2,8,85,2,8,"Friday",69.1342465753425
"APPK40949346408","Male","C10001","A","A","4",2700,"B001","P","Y","S133","B",459,10000,4,"7",27,5,82,27,5,"Friday",65.9479452054795
"APPV80504514517","Male","C10008","A","C","4",2100,"B002","P","Y","S133","C",0,30000,5,"4",19,10,89,19,10,"Saturday",73.3479452054794
"APPW80566048613","Male","C10008","A","A","4",1600,"B004","P","Y","S133","C",0,36000,5,"2",12,11,95,12,11,"Saturday",79.4164383561644
"APPD90513037337","Male","C10001","A","B","4",3300,"B001","P","Y","S133","B",0,10000,3,"10",7,5,86,7,5,"Saturday",69.8931506849315
"APPL40047305118","Male","C10007","A","B","4",5600,"B002","P","Y","S133","E",1200,30000,2,"10",2,6,87,2,6,"Saturday",70.9643835616438
"APPN20760216327","Male","C10003","A","A","4",2500,"B006","P","Y","S122","C",0,36000,5,"4",1,8,91,1,8,"Saturday",75.1315068493151
"APPP70822536506","Male","C10009","B","A","4",2400,"B003","G","Y","S133","C",0,35000,5,"4",2,6,93,2,6,"Saturday",76.9698630136986
"APPV90184745108","Male","C10002","A","C","4",3900,"B003","G","Y","S122","B",0,1e+05,5,"7",13,4,94,13,4,"Saturday",77.8328767123288
"APPY80240353432","Male","C10046","C","C","4",7500,"B014","P","Y","S133","B",0,1e+05,4,"7",12,10,57,12,10,"Saturday",41.3068493150685
"APPD10500401933","Male","C10007","A","C","1",2000,"B004","P","Y","S143","B",150,10000,5,"4",18,1,88,18,1,"Saturday",71.5945205479452
"APPF90094523116","Male","C10002","A","C","4",2200,"B004","P","Y","S133","E",590,10000,3,"4",10,7,86,10,7,"Saturday",70.0684931506849
"APPG60519369247","Male","C10002","A","C","1",8000,"B001","P","Y","S133","B",0,20000,5,"10",11,7,76,11,7,"Saturday",60.0657534246575
"APPI10312387415","Female","C10034","C","B","4",3000,"B003","G","Y","S133","B",600,30000,3,"7",10,12,84,10,12,"Saturday",68.4876712328767
"APPR30748409317","Male","C10002","A","A","4",2500,"B012","G","Y","S133","B",0,30000,5,"7",4,5,90,4,5,"Saturday",73.8876712328767
"APPX40629447906","Male","C10002","A","A","4",9700,"B003","G","Y","S133","B",3800,30000,3,"10",14,3,86,14,3,"Saturday",69.7452054794521
"APPF90075697702","Male","C10048","C","C","4",5400,"B003","G","Y","S133","B",1500,10000,3,"10",26,6,82,26,6,"Saturday",66.027397260274
"APPH10711077908","Male","C10003","A","A","4",2700,"B001","P","Y","S133","B",0,20000,5,"7",1,6,88,1,6,"Saturday",71.9643835616438
"APPT10480648139","Male","C10029","C","B","4",25000,"B003","G","Y","S133","C",0,120000,3,"4",1,3,84,1,3,"Sunday",67.7068493150685
"APPU60453258232","Male","C10106","C","A","4",2950,"B003","G","Y","S133","E",0,30000,5,"7",5,6,85,5,6,"Sunday",68.9698630136986
"APPZ70422039734","Male","C10010","A","B","4",2369.4,"B002","P","Y","S133","C",0,34000,5,"4",16,3,90,16,3,"Sunday",73.7506849315069
"APPB50127764908","Male","C10009","B","A","4",1740,"B008","G","Y","S133","C",0,39000,5,"2",20,1,85,20,1,"Sunday",68.5972602739726
"APPP10156766334","Male","C10002","A","B","4",2500,"B002","P","Y","S133","C",0,30000,3,"7",20,12,87,20,12,"Sunday",71.5123287671233
"APPS70665146644","Male","C10021","B","C","1",2966.1,"B002","P","Y","S133","B",250,20000,5,"10",25,5,83,25,5,"Sunday",66.9369863013699
"APPU30993402848","Male","C10023","B","A","4",25000,"B003","G","Y","S133","C",0,150000,5,"7",8,3,85,8,3,"Sunday",68.7260273972603
"APPY20361501233","Male","C10028","C","C","4",3840,"B002","P","Y","S133","B",0,30000,2,"7",12,8,81,12,8,"Sunday",65.1534246575342
"APPD30315929734","Male","C10009","B","A","4",3000,"B004","P","Y","S133","C",0,58000,5,"7",2,12,85,2,12,"Monday",69.4602739726027
"APPJ70743728327","Male","C10097","C","C","4",2500,"B033","G","Y","S143","B",370,17000,5,"7",2,5,84,2,5,"Monday",67.8739726027397
"APPK30679331423","Male","C10003","A","A","4",6300,"B025","G","Y","S133","B",0,80000,5,"10",3,3,73,3,3,"Monday",56.7013698630137
"APPO70732754849","Male","C10001","A","A","4",3000,"B003","G","Y","S133","C",0,45000,5,"4",6,4,87,6,4,"Monday",70.8027397260274
"APPT10406402302","Male","C10005","A","A","1",5000,"B001","P","Y","S122","B",1500,81000,5,"10",13,3,91,13,3,"Monday",74.7397260273973
"APPU60142311444","Male","C10010","A","C","4",3250,"B008","G","Y","S133","E",0,97000,5,"10",11,12,83,11,12,"Monday",67.4821917808219
"APPX40155362702","Male","C10005","A","C","4",1848,"B002","P","Y","S133","C",0,43000,5,"2",12,6,92,12,6,"Monday",75.9917808219178
"APPH90167759721","Female","C10007","A","A","4",2400,"B003","G","Y","S133","E",0,30000,4,"4",5,12,87,5,12,"Monday",71.4684931506849
"APPQ50809898611","Male","C10003","A","A","1",4600,"B007","G","Y","S143","C",0,67000,4,"7",10,12,91,10,12,"Monday",75.4849315068493
"APPR30401199701","Male","C10003","A","A","4",10000,"B014","P","Y","S133","B",0,52000,1,"10",2,8,73,2,8,"Monday",57.1178082191781
"APPW10851598244","Female","C10003","A","B","4",2601.7,"B004","P","Y","S133","E",0,68000,5,"10",16,3,86,16,3,"Monday",69.7452054794521
"APPH70805423317","Male","C10002","A","C","4",3000,"B005","P","Y","S133","B",1100,10000,1,"10",4,9,87,4,9,"Monday",71.2164383561644
"APPM80631303825","Male","C10003","A","C","4",2500,"B014","P","Y","S133","B",0,10000,1,"10",14,2,77,14,2,"Monday",60.6575342465753
"APPS10451308445","Male","C10019","B","A","4",3500,"B002","P","Y","S133","B",0,50000,5,"7",8,4,82,8,4,"Monday",65.8054794520548
"APPV10000594728","Male","C10025","A","C","4",2500,"B011","P","Y","S143","B",0,68000,5,"10",17,10,89,17,10,"Monday",73.3369863013699
"APPX90545539932","Male","C10003","A","B","4",1900,"B001","P","Y","S133","C",0,44000,5,"2",13,12,91,13,12,"Monday",75.4931506849315
"APPI50436511029","Male","C10007","A","C","4",2000,"B001","P","Y","S133","C",0,31000,5,"4",8,7,90,8,7,"Monday",74.0602739726027
"APPK40504961223","Male","C10334","C","A","4",2900,"B003","G","Y","S133","B",375,20000,5,"7",8,7,68,8,7,"Monday",52.0465753424658
"APPM10566295434","Male","C10018","C","A","4",2100,"B004","P","Y","S151","B",700,21000,5,"4",12,12,77,12,12,"Monday",61.4821917808219
"APPN20971698507","Male","C10002","A","A","4",2500,"","","Y","S122","B",0,50000,4,"7",22,4,91,22,4,"Monday",74.8493150684932
"APPR10411907921","Male","C10002","A","B","2",1850,"B005","P","Y","S133","E",0,10000,2,"2",15,8,86,15,8,"Monday",70.1616438356164
"APPW20800678439","Male","C10010","A","C","2",2030,"B021","P","Y","S133","C",0,32000,5,"4",17,9,91,17,9,"Tuesday",75.2520547945205
"APPG80133423412","Male","C10270","C","A","4",4103.6,"B004","P","Y","S133","B",0,20000,5,"7",25,7,83,25,7,"Tuesday",67.0986301369863
"APPH30423329507","Female","C10003","A","A","4",6000,"B023","G","Y","S151","B",0,150000,5,"10",11,6,58,11,6,"Tuesday",41.9616438356164
"APPI70671544622","Male","C10283","C","A","4",2647.6,"","","Y","S133","B",800,30000,5,"7",24,5,65,24,5,"Tuesday",48.9178082191781
"APPK30507806814","Male","C10001","A","A","4",2600,"B001","P","Y","S122","F",0,39000,5,"4",22,12,79,22,12,"Tuesday",63.5068493150685
"APPP90372528312","Male","C10003","A","A","4",4500,"B002","P","Y","S133","E",704.9,10000,4,"10",5,9,89,5,9,"Tuesday",73.2191780821918
"APPU80357653811","Male","C10003","A","A","4",2540,"B025","G","Y","S133","B",450,30000,4,"7",18,2,78,18,2,"Tuesday",61.6657534246575
"APPB90587842501","Male","C10006","A","A","4",3000,"B001","P","Y","S133","B",700,20000,4,"7",12,6,76,12,6,"Tuesday",59.9780821917808
