"ID","Gender","City_Code","City_Category","Employer_Category1","Employer_Category2","Monthly_Income","Customer_Existing_Primary_Bank_Code","Primary_Bank_Type","Contacted","Source","Source_Category","Existing_EMI","Var1","DOBDay","DOBMonth","DOBYear","Lead_Creation_DateDay","Lead_Creation_DateMonth","LeadCreationDOW","Age"
"APPC80449411414","Female","C10009","B","B","4",1000,"B002","P","N","S133","B",0,"0",19,11,90,19,11,"Friday",74.4356164383562
"APPD30665094501","Female","C10005","A","A","3",1465,"B001","P","N","S133","C",0,"0",15,10,92,15,10,"Friday",76.3424657534247
"APPF90611935733","Female","C10010","A","B","4",1500,"B004","P","N","S133","B",450,"0",26,12,87,26,12,"Friday",71.5342465753425
"APPG20993415813","Female","C10002","A","A","4",6900,"B003","G","N","S134","B",3000,"0",22,9,73,22,9,"Friday",57.2657534246575
"APPH30656456927","Female","C10003","A","B","4",2055.5,"B002","P","N","S133","B",749.7,"0",18,10,91,18,10,"Friday",75.3479452054794
"APPL40962417345","Female","C10079","C","A","4",2480,"B028","P","N","S159","B",0,"4",17,11,86,17,11,"Friday",70.427397260274
"APPM90265624408","Female","C10008","A","A","4",1000,"B032","G","N","S133","B",250,"0",13,1,97,13,1,"Friday",80.5917808219178
"APPO80036467625","Female","C10001","A","A","4",1050,"B001","P","N","S122","B",250,"0",1,11,88,1,11,"Friday",72.386301369863
"APPQ20714935844","Female","C10001","A","A","4",10000,"B003","G","N","S133","B",4100,"0",9,4,80,9,4,"Friday",63.8164383561644
"APPT80995817106","Female","C10002","A","C","4",1500,"B012","G","N","S133","C",0,"0",28,9,88,28,9,"Friday",72.2931506849315
"APPV20523998348","Female","C10125","C","C","4",1019,"B013","G","N","S133","E",0,"0",15,8,76,15,8,"Friday",60.1643835616438
"APPZ70268239711","Female","C10002","A","B","4",6500,"B002","P","N","S133","B",1000,"10",11,9,88,11,9,"Friday",72.2465753424657
"APPC60646419006","Female","C10039","B","A","4",1000,"","","N","S133","B",250,"0",16,8,92,16,8,"Friday",76.1780821917808
