"ID","Gender","City_Code","City_Category","Employer_Category1","Employer_Category2","Monthly_Income","Customer_Existing_Primary_Bank_Code","Primary_Bank_Type","Contacted","Source","Source_Category","Existing_EMI","Loan_Amount","Loan_Period","Interest_Rate","EMI","Var1","DOBDay","DOBMonth","DOBYear","Lead_Creation_DateDay","Lead_Creation_DateMonth","LeadCreationDOW","Age"
"APPD30709518925","Female","C10002","A","A","4",7000,"","","N","S122","G",NA,NA,NA,NA,NA,"0",4,10,86,4,10,"Monday",70.0876712328767
"APPP20529708522","Female","C10001","A","A","4",2200,"","","N","S122","G",NA,NA,NA,NA,NA,"0",22,1,81,22,1,"Friday",64.3753424657534
"APPT90662314312","Female","C10003","A","A","4",6500,"","","N","S122","G",NA,NA,NA,NA,NA,"10",23,1,67,23,1,"Friday",50.3479452054795
"APPO20714279229","Female","C10006","A","A","4",3600,"","","N","S122","D",NA,NA,NA,NA,NA,"10",14,4,90,14,4,"Friday",73.6821917808219
"APPQ70252865814","Female","","","A","4",2000,"","","N","S122","G",NA,NA,NA,NA,NA,"0",9,9,88,9,9,"Wednesday",72.0356164383562
"APPS80875269231","Female","C10014","B","A","4",2900,"","","N","S122","G",NA,NA,NA,NA,NA,"0",16,12,87,16,12,"Friday",71.2767123287671
"APPU50606592205","Female","","","A","4",3000,"","","N","S122","G",NA,NA,NA,NA,NA,"0",25,11,80,25,11,"Tuesday",64.2246575342466
"APPX80254499336","Male","C10003","A","A","4",5600,"","","Y","S122","G",NA,78000,5,NA,NA,"10",3,7,86,3,7,"Thursday",69.8246575342466
"APPG40711316822","Female","C10005","A","A","4",2500,"","","N","S122","G",NA,NA,NA,NA,NA,"7",4,2,93,4,2,"Saturday",76.4164383561644
"APPT90962137109","Male","C10001","A","A","4",11000,"","","Y","S122","G",NA,NA,NA,NA,NA,"10",2,4,87,2,4,"Saturday",70.5671232876712
"APPI60867768416","Female","C10005","A","A","4",2650,"","","N","S122","G",NA,NA,NA,NA,NA,"7",3,9,90,3,9,"Monday",73.986301369863
"APPZ40133963522","Female","C10059","B","A","4",2650,"","","N","S122","G",NA,NA,NA,NA,NA,"7",15,8,86,15,8,"Wednesday",69.9260273972603
"APPN50523263521","Female","C10004","A","A","4",4600,"","","Y","S122","G",NA,20000,4,NA,NA,"10",28,7,89,28,7,"Wednesday",72.8794520547945
"APPT20657588704","Male","C10003","A","A","4",3800,"","","Y","S122","G",NA,69000,4,NA,NA,"2",4,2,80,4,2,"Thursday",63.3917808219178
"APPV20094266127","Female","C10002","A","A","4",3200,"","","N","S122","G",NA,NA,NA,NA,NA,"0",5,8,91,5,8,"Friday",74.8958904109589
"APPQ40720711428","Female","C10004","A","A","4",2800,"","","N","S122","G",NA,NA,NA,NA,NA,"7",1,8,74,1,8,"Friday",57.8739726027397
"APPZ70076565739","Female","C10005","A","A","4",1930,"","","N","S122","G",NA,NA,NA,NA,NA,"2",22,8,86,22,8,"Friday",69.9397260273973
"APPR10954882304","Male","C10002","A","A","4",6000,"","","Y","S122","G",NA,30000,4,NA,NA,"10",4,9,86,4,9,"Friday",69.9753424657534
"APPS50099417401","Male","C10002","A","A","4",5500,"","","Y","S122","G",NA,95000,4,NA,NA,"7",5,2,91,5,2,"Friday",74.4
"APPS30865946406","Female","C10031","C","A","4",2050,"","","N","S122","G",NA,NA,NA,NA,NA,"0",2,6,73,2,6,"Friday",56.7095890410959
