"ID","Gender","City_Code","City_Category","Employer_Category1","Employer_Category2","Monthly_Income","Customer_Existing_Primary_Bank_Code","Primary_Bank_Type","Contacted","Source","Source_Category","Existing_EMI","Loan_Amount","Loan_Period","Interest_Rate","EMI","Var1","Approved","DOBDay","DOBMonth","DOBYear","Lead_Creation_DateDay","Lead_Creation_DateMonth","LeadCreationDOW","Age"
"APPD40611263344","Male","C10003","A","C","1",3500,"B002","P","Y","S122","G",0,20000,2,13.25,953,"10",0,7,12,86,7,12,"Monday",70.4739726027397
"APPK80327232033","Male","C10022","B","B","4",7500,"B003","G","Y","S122","C",0,130000,5,14.85,3082,"10",0,28,3,73,28,3,"Saturday",56.7753424657534
"APPL20820172146","Female","C10003","A","A","4",3000,"B006","P","Y","S133","B",0,30000,3,18.25,1088,"0",0,12,11,90,12,11,"Sunday",74.4109589041096
"APPM30977401211","Male","C10003","A","A","4",2500,"B017","G","Y","S133","B",0,66000,5,20,1749,"7",0,3,3,77,3,3,"Saturday",60.7095890410959
"APPP50632654511","Male","C10030","B","B","4",2700,"B003","G","Y","S133","B",460,20000,5,18,508,"7",0,24,8,83,24,8,"Saturday",67.1698630136986
"APPS60734495841","Male","C10032","C","C","4",2899.4,"B006","P","Y","S122","E",255,30000,5,15.5,722,"0",0,11,12,86,11,12,"Friday",70.4739726027397
"APPC20296288829","Male","C10002","A","B","4",2284.3,"B004","P","Y","S133","E",0,26000,2,20,1323,"4",0,8,8,92,8,8,"Friday",76.1561643835616
"APPG60902857241","Female","C10001","A","C","4",7500,"B001","P","Y","S133","C",0,98000,3,15.5,3421,"7",0,28,6,89,28,6,"Friday",73.041095890411
"APPJ30117254546","Male","C10003","A","B","4",2100,"B001","P","Y","S122","B",133.3,20000,4,20,609,"4",0,5,9,86,5,9,"Friday",70.227397260274
"APPP90252874144","Male","C10001","A","C","4",1800,"B002","P","Y","S133","C",0,40000,5,20,1060,"2",0,20,6,82,20,6,"Friday",66.013698630137
"APPQ60857695209","Male","C10003","A","C","4",4200,"B004","P","Y","S133","C",0,69000,5,14.85,1636,"7",0,13,7,81,13,7,"Friday",65.0767123287671
